School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio,Male to Female Ratio,Cluster (hier)
Alabama A & M University,AL,35762,12,0.711,7709,5271,0.3967,0.6033,0.5689,49720,20,0.9175,23053,0.7019,0.7361,0.2844,0.3311258278,0.176,1.0950661696,0,14990,1.8589385475,1.3140152453,0.6575501409,1
University of Alabama at Birmingham,AL,35294-0110,12,0.7754,11049,13328,0.389,0.611,0.831,55735,23,0.7366,24495,0.3512,0.4798,0.609,0.5710577547,0.063,1.0140469108,0,16953,2.380952381,0.7988933816,0.6366612111,20
University of Alabama in Huntsville,AL,35899,12,0.6434,9688,7785,0.581,0.419,0.8291,58688,22,0.8257,23917,0.2536,0.3976,0.5483,0.5883111302,0.065,0.9770979886,0,15860,2.1145477432,0.6668383584,1.3866348449,22
Alabama State University,AL,36104-0271,12,0.6501,7221,3750,0.3691,0.6309,0.6127,46065,20,0.969,21866,0.7627,0.8232,0.3142,0.2897054358,0.18,1.0949947121,0,13650,1.7524394651,1.4025682583,0.5850372484,1
The University of Alabama,AL,35487-0100,12,0.7604,10291,31900,0.4451,0.5549,0.8693,57928,21,0.8268,29872,0.1772,0.3802,0.7149,0.6358131488,0.054,0.9802635546,0,22597,2.806122449,0.6445375443,0.8021265093,26
Auburn University at Montgomery,AL,36117-3596,12,0.9745,7927,4407,0.356,0.644,0.6589,50723,22,0.9044,19849,0.4644,0.5391,0.3391,0.4601834862,0.109,1.0401787056,0,13987,2.1220417633,0.8937354543,0.5527950311,24
Auburn University,AL,36849,13,0.8751,10738,24209,0.5171,0.4829,0.9136,59005,20,0.8067,31590,0.1455,0.3052,0.7861,0.7806225824,0.029,0.9398094355,0,24104,2.7083188305,0.587954262,1.0708221164,26
Birmingham-Southern College,AL,35254,12,0.6839,6294,1205,0.4739,0.5261,0.7988,64789,19,0.5381,32095,0.2357,0.4666,0.6858,0.7704918033,0.037,0.9590129906,0,22107,1,0.6405514525,0.9007793195,12
South University-Montgomery,AL,36116,12,0.1053,4826,251,0.1912,0.8088,0.2,55764,30,0.7340111815,28258,0.6137,0.648,0.0959,0.2736477659,0.118,1.051825973,0,20384,1,1.0215200218,0.2363996044,2
Faulkner University,AL,36109-3390,12,0.5053,6001,1928,0.4123,0.5877,0.6102,52330,28,0.7833,34317,0.4881,0.6096,0.3019,0.3972296693,0.098,1.0517107179,0,20715,1,0.9389152319,0.7015484091,3
Huntingdon College,AL,36106-2148,12,0.464,6678,1007,0.4876,0.5124,0.6169,54037,23,0.5929,36828,0.445,0.7225,0.4607,0.5925349922,0.099,1.0154415497,0,21486,1,0.7821278283,0.9516003123,5
Jacksonville State University,AL,36265,23,0.6903,7269,6743,0.4053,0.5947,0.7566,48389,22,0.5479,19004,0.3803,0.61,0.4194,0.4580348004,0.088,1.033718449,0,15559,1.8741007194,1.0608832647,0.6815200942,24
University of West Alabama,AL,35470,43,0.4659,6481,2235,0.3946,0.6054,0.6659,40238,22,0.3493,21657,0.5353,0.6007,0.3307,0.4271907216,0.073,1.0621162448,0,15514,1.8280254777,1.10436995,0.6518004625,1
Miles College,AL,35064-2621,21,0.6471,4903,1452,0.5021,0.4979,0.6408,43157,21,0.742695171,22300,0.86,0.9129,0.2459,0.1990521327,0.134,1.0872459045,0,14303,1,1.3455201838,1.0084354288,1
University of Mobile,AL,36613-2842,41,1,5192,1192,0.3532,0.6468,0.751,51833,23,0.4566,36104,0.3514,0.5304,0.5281,0.5390804598,0.1,1.0426755981,0,17122,1,1.0266137041,0.5460729746,6
University of Montevallo,AL,35115-6000,21,0.7034,7756,2200,0.3473,0.6527,0.7398,59047,21,0.532,24746,0.3976,0.5322,0.5208,0.5911111111,0.077,1.0230548544,0,16435,1.9498103297,0.9380374173,0.5320974414,24
University of North Alabama,AL,35632-0001,13,1,8336,5513,0.3873,0.6127,0.7538,48189,21,0.8878,20886,0.3767,0.5061,0.4708,0.5703157032,0.124,1.0243876413,0,14130,1.9039548023,0.8633635161,0.632120124,24
Oakwood University,AL,35896,12,0.7787,5218,1442,0.4209,0.5791,0.712,60906,21,0.6473,37169,0.4756,0.6806,0.4916,0.3432671082,0.107,1.0776079684,0,24274,1,1.2262011497,0.7268174754,5
Samford University,AL,35229-2240,21,0.9826,9079,3585,0.3336,0.6664,0.8925,69602,21,0.8331,47863,0.1137,0.3211,0.7638,0.8022959184,0.026,0.9153143624,0,29673,1,0.6388215621,0.5006002401,30
University of South Alabama,AL,36688-0002,12,0.6219,7251,9380,0.4029,0.5971,0.7411,51919,21,0.7869,20792,0.4043,0.5706,0.4522,0.5077202543,0.069,1.0284189083,0,15501,1.9404478323,0.9275792501,0.6747613465,24
Spring Hill College,AL,36608-1791,12,0.696,6627,1156,0.3763,0.6237,0.6958,59048,19,0.4978,55695,0.3565,0.7823,0.5689,0.6521035599,0.066,1.0021381494,1,22221,1,0.8444537114,0.6033349367,37
Stillman College,AL,35401,12,0.7193,4845,830,0.4843,0.5157,0.6319,46186,21,0.3296,25413,0.7089,0.7829,0.281,0.2661596958,0.22,1.0915558499,0,18352,1,1.2754308468,0.9391118868,1
Talladega College,AL,35160,32,0.5059,5889,1169,0.4636,0.5364,0.6436,44867,21,0.6493786632,23745,0.739,0.7548,0.2746,0.2105263158,0.23,1.0828595987,0,15661,1,1.4781430382,0.8642803878,1
Troy University,AL,36082-0001,33,0.4748,6657,12595,0.3725,0.6275,0.7509,49132,25,0.8757,19545,0.4116,0.6328,0.4521,0.3866133866,0.096,1.0539366643,0,14285,1.8756174225,1.1407254887,0.593625498,24
Tuskegee University,AL,36088-1920,32,0.8736,7224,2394,0.3622,0.6378,0.7433,54155,19,0.5173,39383,0.2064,0.3614,0.4711,0.554664723,0.114,1.0895027533,0,34575,1,1.1864292307,0.5678896206,6
University of Alaska Anchorage,AK,99508,11,0.5188,9124,9257,0.4189,0.5811,0.6636,72116,25,0.8296,20010,0.2333,0.2131,0.2924,0.5929487179,0.1,0.9970513747,0,12995,3.4658768357,0.7828401996,0.7208742041,21
University of Alaska Fairbanks,AK,99775,23,0.6068,9658,4410,0.4224,0.5776,0.7286,65084,25,0.7599,18558,0.2352,0.2145,0.3327,0.5551689861,0.121,1.0085294475,0,10333,2.9966101695,0.8446304427,0.7313019391,21
Alaska Pacific University,AK,99508,11,0.4419,5769,318,0.283,0.717,0.7222,70542,25,0.8924,34315,0.402,0.4751,0.5,0.6615384615,0.066,1.0172204986,0,18602,1,0.761630736,0.3947001395,14
Arizona State University Campus Immersion,AZ,85287,12,0.7887,11736,44038,0.5525,0.4475,0.8844,69074,24,0.8647,26296,0.293,0.3392,0.6612,0.6269202634,0.063,0.9716956938,0,11706,2.595519492,0.6054099625,1.2346368715,28
University of Arizona,AZ,85721-0066,11,0.7567,11256,33715,0.4644,0.5356,0.8321,64708,21,0.8459,27417,0.2888,0.3558,0.6459,0.7160208213,0.06,0.9636515453,0,15016,2.8886790968,0.5615433385,0.8670649739,28
Embry-Riddle Aeronautical University-Prescott,AZ,86301-3720,41,0.722,9256,2885,0.7362,0.2638,0.8292,66671,25,0.657,53046,0.2337,0.4376,0.6724,0.740803485,0.047,0.9634597358,0,35396,1,0.4757740973,2.7907505686,32
Northern Arizona University,AZ,86011-4092,13,0.663,8431,26135,0.38,0.62,0.7755,59985,24,0.8489,27129,0.3394,0.424,0.5461,0.5924981792,0.068,0.9730976301,0,12915,2.2289845326,0.6602768903,0.6129032258,20
Prescott College,AZ,86301,13,0.3696,5095,465,0.3312,0.6688,0.6136,62739,27,0.9741,43039,0.4254,0.5351,0.3654,0.6076642336,0.05,0.9859814729,0,18798,1,0.9612098428,0.495215311,14
Arizona Christian University,AZ,85306-3216,21,0.186,5377,803,0.6376,0.3624,0.5621,65520,22,0.6793,39360,0.3093,0.5696,0.4765,0.6301886792,0.154,0.9969465303,0,21374,1,0.7194052916,1.7593818985,5
University of Arkansas at Little Rock,AR,72204,12,0.9704,6908,5900,0.3686,0.6314,0.6643,51732,25,0.6582,21590,0.3866,0.4329,0.4089,0.5699691138,0.098,1.0430782042,0,14906,2.2793378039,0.9169848043,0.5837820716,24
Arkansas Baptist College,AR,72202-6068,12,0.3953,4367,531,0.7721,0.2279,0.3571,43283,21,0.6317158836,21955,0.939,0.8362,0.1472,0.2669603524,0.37,1.1052596074,0,19029,1,1.2261325346,3.3878894252,8
Lyon College,AR,72501,33,1,6577,650,0.5631,0.4369,0.6791,48616,19,0.444,40422,0.4137,0.6122,0.5152,0.618556701,0.112,0.983593488,0,15447,1,0.62293796,1.2888532845,5
University of Arkansas,AR,72701,13,0.8514,10058,22766,0.4617,0.5383,0.842,52450,21,0.7709,23390,0.1938,0.3672,0.6586,0.6979610128,0.056,0.9627443057,0,16381,2.7570332481,0.633437778,0.8577001672,26
University of Arkansas at Pine Bluff,AR,71601,13,0.8133,5807,2333,0.4068,0.5932,0.7206,42634,21,0.4394,19108,0.7012,0.6688,0.3113,0.3392137097,0.195,1.0738085472,0,12320,1.8074684772,1.2037268634,0.6857720836,1
Arkansas State University,AR,72401,13,0.7,7216,8159,0.4046,0.5954,0.7525,42159,23,0.7991,21756,0.399,0.4999,0.5058,0.5357404692,0.057,1.023585944,0,13406,1.7820224719,1.0268043968,0.6795431643,24
Arkansas Tech University,AR,72801-2222,33,0.9946,6868,7930,0.4528,0.5472,0.6971,43602,23,0.9474,18358,0.3607,0.3628,0.3953,0.5434243176,0.091,1.0282345058,0,10772,1.7261345853,0.8779160187,0.8274853801,25
University of Central Arkansas,AR,72035-0001,13,0.7652,7121,8557,0.391,0.609,0.7474,48705,21,0.9042,22041,0.3945,0.4714,0.4228,0.5983319882,0.085,1.035318957,0,15376,1.7411841532,0.8003390469,0.6420361248,24
Central Baptist College,AR,72034,13,0.2667,5304,600,0.53,0.47,0.616,50351,24,0.4,26290,0.4973,0.6011,0.2973,0.6038338658,0.12,1.022142509,0,16619,1,0.9040125689,1.1276595745,8
Crowley's Ridge College,AR,72450,41,0.9474,4005,162,0.5556,0.4444,0.5161,43531,20,0.7404927786,21793,0.5381,0.731,0.3518,0.414893617,0.142,1.021946934,0,13796,1,0.9857337444,1.2502250225,8
Harding University,AR,72149-5615,32,0.7929,7375,3749,0.4556,0.5444,0.847,61757,20,0.6134,30490,0.2267,0.5137,0.6791,0.7731958763,0.045,0.9465249767,0,19375,1,0.7891414141,0.8368846436,12
Henderson State University,AR,71999-0001,32,0.9955,6837,2965,0.4293,0.5707,0.62,45548,21,0.7564,20560,0.5091,0.463,0.3665,0.5055230669,0.071,1.0458573226,0,10270,1.1920916648,0.7880574065,0.7522340985,25
Hendrix College,AR,72032-3080,13,1,7474,1104,0.4783,0.5217,0.8867,63550,19,0.6996,62983,0.2978,0.4825,0.7073,0.8,0.023,0.9160559128,0,19295,1,0.6356025073,0.9168104274,30
John Brown University,AR,72761,32,0.9843,7083,1447,0.3974,0.6026,0.8213,56884,24,0.7577,39802,0.2895,0.4419,0.686,0.7828571429,0.037,0.9191322674,0,21963,1,0.5938012938,0.6594756057,12
Ouachita Baptist University,AR,71998-0001,32,1,6374,1524,0.4239,0.5761,0.7869,61306,19,0.6143,38590,0.2608,0.6096,0.6363,0.7186858316,0.058,0.978306801,0,19815,1,0.623233245,0.7358097553,30
University of the Ozarks,AR,72830,33,0.7353,6720,812,0.4914,0.5086,0.6667,51329,20,0.5019,33866,0.4232,0.5206,0.5111,0.637254902,0.099,1.0479874509,0,12924,1,0.7878618446,0.9661816752,5
Philander Smith College,AR,72202-3799,12,1,5808,996,0.3614,0.6386,0.6599,45434,21,0.6228041649,26302,0.81,0.82,0.4243,0.4348785872,0.275,1.0936464702,0,14141,1,1.1241323104,0.5659254619,1
Williams Baptist University,AR,72476,42,1,5468,512,0.5352,0.4648,0.4872,42485,20,0.5878,28664,0.4363,0.5929,0.3862,0.669527897,0.096,0.9941549245,0,18444,1,0.7589975712,1.1514629948,8
Southern Arkansas University Main Campus,AR,71753,33,0.6641,6850,3164,0.4444,0.5556,0.6685,42416,21,0.6506,22579,0.4866,0.7623,0.4215,0.5218466612,0.193,1.0382843803,0,14270,1.4955947137,0.7373376541,0.7998560115,22
University of Arkansas-Fort Smith,AR,72913-3649,13,0.672,6986,4883,0.402,0.598,0.6537,45327,22,0.6849038101,16391,0.4199,0.3504,0.3323,0.4881729201,0.16,1.0136023285,0,9637,2.2638164755,0.753250206,0.6722408027,24
Academy of Art University,CA,94105,11,0.2086,8678,6570,0.4339,0.5661,0.727,74015,25,0.6987035751,41945,0.3584,0.4724,0.4249,0.3820337047,0.069,1.0332197982,0,34145,1,1.2115714819,0.7664723547,6
Art Center College of Design,CA,91103,12,0.2543,7947,2034,0.4341,0.5659,0.812,74131,22,0.7084,64316,0.2829,0.4442,0.7003,0.7521367521,0.011,0.9223183147,0,47080,1,0.7775987471,0.7670966602,31
Azusa Pacific University,CA,91702-7000,21,0.4,9007,5128,0.3422,0.6578,0.7956,73950,26,0.6748,53117,0.3127,0.4386,0.6526,0.7230290456,0.033,0.9757851262,0,26293,1,0.6488338293,0.5202189115,12
Biola University,CA,90639-0001,21,0.6093,7676,4031,0.3672,0.6328,0.8285,75484,20,0.6985,55950,0.3041,0.563,0.7342,0.8177110306,0.016,0.9013867642,0,31859,1,0.6917658897,0.580278129,30
California Baptist University,CA,92504-3297,11,0.4411,9815,8170,0.3756,0.6244,0.7824,66849,24,0.7828,46261,0.4528,0.6867,0.5914,0.6477377655,0.046,0.992713288,0,24707,1,0.8084471393,0.601537476,13
California College of the Arts,CA,94107-2247,11,0.2392,9728,1455,0.3567,0.6433,0.8099,73343,21,0.8503,66348,0.2507,0.3467,0.6194,0.7098283931,0.043,0.9465780429,0,33876,1,0.8484162896,0.5544846883,31
California Lutheran University,CA,91360-2787,12,1,10402,3077,0.4368,0.5632,0.8355,81648,22,0.7142,58375,0.2972,0.5273,0.7231,0.7700587084,0.017,0.922488984,0,26489,1,0.5696669124,0.7755681818,30
California Polytechnic State University-San Luis Obispo,CA,93407,23,0.6936,10598,20453,0.518,0.482,0.9407,74683,20,0.2842,28302,0.1775,0.2894,0.819,0.8852824579,0.011,0.820610711,0,21595,2.3969626873,0.3720099699,1.0746887967,26
California State University-Bakersfield,CA,93311-1099,11,0.4915,9640,9750,0.3772,0.6228,0.7722,53982,23,0.8071,16660,0.6187,0.3187,0.4267,0.5685785536,0.053,0.999348542,0,5318,2.6012939749,0.5892863932,0.6056518947,29
California State University-Stanislaus,CA,95382-0299,23,0.5115,9678,9686,0.3475,0.6525,0.8269,56979,23,0.8929,16549,0.5929,0.3243,0.5837,0.6889748549,0.043,0.97057764,0,6019,2.5751789976,0.5744570454,0.5325670498,29
California State University-San Bernardino,CA,92407-2393,12,0.4995,9808,17963,0.3928,0.6072,0.8595,59070,22,0.6856,18313,0.6238,0.3067,0.559,0.5357593226,0.055,0.9951940921,0,7342,2.7254901961,0.632633438,0.6469038208,29
California State Polytechnic University-Pomona,CA,91768,21,0.4405,10766,26373,0.5286,0.4714,0.8978,68064,22,0.5459,21967,0.4848,0.3197,0.7021,0.769726248,0.017,0.9173313835,0,12734,2.6062736614,0.5167262913,1.1213406873,26
California State University-Chico,CA,95929-0150,12,0.5573,9692,16044,0.4689,0.5311,0.8415,61867,22,0.7233,23888,0.4514,0.4363,0.6678,0.7279064999,0.033,0.9308256257,0,15017,2.521906226,0.5259641017,0.8828845792,20
California State University-Dominguez Hills,CA,90747-0005,13,0.4058,9761,15328,0.3753,0.6247,0.768,54533,25,0.77,14951,0.6483,0.291,0.447,0.5483447189,0.026,0.9959212952,0,4215,2.7103368845,0.6823405154,0.6007683688,29
California State University-Fresno,CA,93740,11,0.5538,9653,21156,0.4095,0.5905,0.826,53295,22,0.5794,16494,0.5944,0.2707,0.5515,0.677498583,0.047,0.9764836405,0,5464,2.8030050083,0.5938583552,0.6934801016,29
California State University-Fullerton,CA,92831-3599,21,0.4788,10392,35087,0.4311,0.5689,0.8871,73036,22,0.5269,17568,0.4855,0.2631,0.6837,0.7291639747,0.027,0.9368188888,0,7991,2.7157712305,0.567911186,0.7577781684,28
California State University-East Bay,CA,94542,21,0.4538,10382,13104,0.3993,0.6007,0.7585,78750,24,0.7618,21495,0.4899,0.3326,0.4891,0.6542381974,0.052,0.9672982884,0,11116,2.6971428571,0.508864084,0.6647244881,21
California State University-Long Beach,CA,90840-0115,11,0.4785,10346,32900,0.4369,0.5631,0.871,66954,22,0.3927,19239,0.518,0.3005,0.7143,0.7425225913,0.016,0.9375467632,0,9622,2.7383669886,0.5426885843,0.775883502,28
California State University-Los Angeles,CA,90032-8506,11,0.3966,10216,22743,0.4211,0.5789,0.8084,52850,23,0.4781,14728,0.6804,0.2561,0.5012,0.6072386059,0.014,0.9725052883,0,2768,2.7553191489,0.5556474412,0.7274140612,29
California State University-Northridge,CA,91330,11,0.4396,10414,34713,0.4527,0.5473,0.8126,64055,22,0.5934,19301,0.5728,0.2781,0.547,0.6553634752,0.02,0.9593209552,0,8414,2.7027375663,0.5481634183,0.8271514709,28
California State University-Sacramento,CA,95819-2694,11,0.4812,9863,28718,0.4454,0.5546,0.8341,65686,23,0.8226,20173,0.5271,0.3226,0.5305,0.697192169,0.046,0.9598123386,0,9979,2.6123778502,0.5456401591,0.8031013343,28
University of California-Berkeley,CA,94720,12,0.6757,17763,31345,0.4604,0.5396,0.9694,77601,21,0.1625,37852,0.2668,0.2176,0.9204,0.8017990547,0.017,0.7988755421,0,15329,3.0875605136,0.3359713304,0.8532246108,27
University of California-Davis,CA,95616-8678,23,0.8472,15374,30962,0.3928,0.6072,0.9239,76621,21,0.3887,34752,0.3666,0.3027,0.8656,0.8385108791,0.019,0.813775666,0,14669,3.0527078303,0.3798411834,0.6469038208,27
University of California-Irvine,CA,92697,11,0.8182,16113,30367,0.4786,0.5214,0.9387,78085,20,0.2654,33325,0.3999,0.3202,0.839,0.7829307568,0.013,0.8549955646,0,14783,3.1675529977,0.3954642098,0.9179133103,27
University of California-Los Angeles,CA,90095-1405,11,0.7176,18871,31537,0.416,0.584,0.965,72896,21,0.1232,34366,0.3188,0.2929,0.9101,0.8094726956,0.01,0.8432340607,0,14279,3.2472809668,0.3964390323,0.7123287671,27
University of California-Riverside,CA,92521,11,0.8728,14100,22015,0.4606,0.5394,0.8956,68292,20,0.5652,33368,0.5284,0.4496,0.7527,0.6923594749,0.021,0.9049493289,0,12871,3.1478380134,0.5104619565,0.8539117538,26
University of California-San Diego,CA,92093,11,0.8472,16447,30789,0.4998,0.5002,0.9343,76397,20,0.3148,32434,0.3652,0.3197,0.8668,0.8481030379,0.015,0.7933749006,0,14232,3.0640998959,0.3878509048,0.9992003199,27
University of California-Santa Barbara,CA,93106,22,0.8694,16692,23337,0.4544,0.5456,0.919,73046,20,0.2956,36319,0.3573,0.3143,0.826,0.7597197898,0.015,0.8754579824,0,15884,3.0675422139,0.431291453,0.8328445748,27
University of California-Santa Cruz,CA,95064-1011,13,0.7595,15094,17517,0.521,0.479,0.8865,78075,20,0.5131,36115,0.3488,0.3887,0.7472,0.7642259841,0.029,0.8813377157,0,18186,3.1266528483,0.506091685,1.0876826722,26
California Institute of the Arts,CA,91355-2397,21,0.5986,9640,1015,0.4463,0.5537,0.8411,74875,21,0.2528,71382,0.2485,0.4596,0.5885,0.6601123596,0.046,0.9610970895,0,50412,1,1.205841041,0.8060321474,31
California State University Maritime Academy,CA,94590-8181,12,0.7474,10147,911,0.8299,0.1701,0.7639,78248,21,0.7621,27259,0.2734,0.4838,0.643,0.8087774295,0.021,0.8827124716,0,20597,2.6694772344,0.4722231334,4.8788947678,33
Chapman University,CA,92866,12,0.9945,12004,7294,0.3936,0.6064,0.9122,73437,19,0.5565,72079,0.1788,0.4797,0.7969,0.6939791761,0.013,0.8711948355,0,41350,1,0.5054656037,0.6490765172,34
Concordia University-Irvine,CA,92612-3203,11,0.9291,7371,1723,0.3941,0.6059,0.7273,79890,22,0.7081,50332,0.2791,0.6051,0.633,0.7239709443,0.027,0.9213497948,0,26143,1,0.5550955893,0.6504373659,12
San Diego Christian College,CA,92071,21,0.0791,6852,469,0.4733,0.5267,0.619,66943,26,0.5526,47220,0.5067,0.7022,0.4952,0.6086956522,0.116,1.0098927364,0,34609,1,0.8664485297,0.8986140118,14
Claremont McKenna College,CA,91711-6400,21,0.9111,11334,1335,0.5049,0.4951,0.9568,82855,19,0.103,73810,0.1609,0.2228,0.9204,0.9450704225,0,0.7649423127,0,22161,1,0.3026186598,1.019793981,36
Cogswell University of Silicon Valley,CA,95134,11,0.3026,7458,541,0.6821,0.3179,0.6207,90231,21,0.4934,35151,0.4448,0.6655,0.472,0.7319587629,0.063,0.9697434958,0,29566,1,0.7140654668,2.1456432841,5
Columbia College Hollywood,CA,91356-1411,11,0.1622,6133,870,0.6103,0.3897,0.618,66257,21,0.7148591934,36596,0.4487,0.7041,0.4959,0.4782608696,0.159,1.0136950739,0,31339,1,0.9248341079,1.5660764691,5
Dominican University of California,CA,94901-2298,13,0.3092,9020,1444,0.3102,0.6898,0.8889,79219,21,0.9134,64877,0.279,0.6081,0.7098,0.7031019202,0.026,0.9240504614,0,32978,1,0.5733127037,0.4496955639,30
Fresno Pacific University,CA,93702-4709,11,0.876,7517,2872,0.2625,0.7375,0.7414,53503,28,0.6608,43780,0.6204,0.7054,0.6681,0.578358209,0.056,1.0017926457,0,16356,1,0.6521163212,0.3559322034,14
Harvey Mudd College,CA,91711,21,0.8992,14397,893,0.5028,0.4972,0.9744,82806,19,0.1367,76953,0.133,0.3858,0.9179,0.9450704225,0,0.5718059925,0,32727,1,0.2626894704,1.0112630732,36
Holy Names University,CA,94619-1699,11,0.2727,8173,668,0.3593,0.6407,0.6686,72379,22,0.6325,56509,0.5332,0.8228,0.4815,0.5756302521,0.035,0.9827165021,1,23034,1,0.7046869067,0.5607928828,37
Humboldt State University,CA,95521-8299,33,0.5626,9828,6559,0.4257,0.5743,0.7505,57400,22,0.9217,24497,0.5562,0.5005,0.5033,0.6171093481,0.082,0.9700398154,0,14692,2.510681587,0.7255535271,0.7412502177,21
Humphreys University-Stockton and Modesto Campuses,CA,95207-3896,11,0.1705,5550,309,0.2718,0.7282,1,54713,28,0.7223352454,24673,0.5773,0.5962,0.4,0.2902408112,0.088,1.0719223305,0,11055,1,1.3722019781,0.3732491074,15
Life Pacific University,CA,91773-3298,21,0.2632,6382,451,0.4435,0.5565,0.5875,65850,21,0.9137,28917,0.5811,0.6906,0.4345,0.632183908,0.051,1.0153716691,0,20865,1,0.8019811189,0.7969451932,5
University of La Verne,CA,91750-4401,21,0.3591,9494,4516,0.4101,0.5899,0.8179,67082,26,0.5482,58014,0.455,0.6186,0.7109,0.5721784777,0.032,1.0079407847,0,25780,1,0.7118225297,0.6952025767,12
Laguna College of Art and Design,CA,92651,41,0.2489,9183,784,0.2793,0.7207,0.7931,84064,21,0.8097,49066,0.3688,0.556,0.5874,0.6746987952,0.027,0.9414885836,0,35355,1,0.8309514613,0.3875398918,18
La Sierra University,CA,92505-8247,11,0.3309,8123,1592,0.3926,0.6074,0.7778,63313,21,0.552,46672,0.4853,0.639,0.4621,0.6286681716,0.042,1.0279149147,0,24046,1,0.7756890408,0.646361541,13
The Master's University and Seminary,CA,91321-1200,21,0.2672,8341,1134,0.5317,0.4683,0.8649,71662,22,0.6712,40402,0.3226,0.4828,0.644,0.8237476809,0.025,0.8628496635,0,28833,1,0.5899224964,1.1353833013,30
Loyola Marymount University,CA,90045-2659,11,0.5546,12054,6638,0.4518,0.5482,0.8907,78631,20,0.4384,67017,0.1701,0.3646,0.8169,0.8412959912,0.016,0.8816070609,1,42861,1,0.4075632087,0.8241517694,40
Marymount California University,CA,90275-6299,21,0.6739,7818,602,0.5017,0.4983,0.6026,73970,20,0.8044291805,53206,0.3959,0.5701,0.3259,0.5625,0.05,1.0112888005,1,33303,1,0.785382643,1.0068231989,37
Menlo College,CA,94027-4301,21,0.2212,11615,833,0.5462,0.4538,0.7134,80580,20,0.6272,59469,0.3187,0.4826,0.5824,0.6632302405,0.053,0.9239001988,0,25944,1,0.4876736286,1.2036139268,30
Mills College,CA,94613,11,0.4911,9429,699,0.0014,0.9986,0.773,71756,22,0.7585,46493,0.5244,0.6285,0.6494,0.6959459459,0.023,0.9624684991,0,22202,1,0.5632146636,0.0014019627,18
Mount Saint Mary's University,CA,90049-1599,11,0.2958,8904,2227,0.0665,0.9335,0.7244,59943,23,0.8965,56275,0.5802,0.8867,0.643,0.6587057011,0.022,1.0001482625,1,29214,1,0.585812156,0.0712372791,39
National University,CA,92037-1011,11,0.108,10242,6791,0.4524,0.5476,0.5,64760,31,0.8947,33320.97828,0.2957,0.3048,0.3283,0.5988112927,0.045,1.0002326417,0,21847.822834,1,0.6281307148,0.8261504748,25
Newschool of Architecture and Design,CA,92101,11,0.1126,7398,394,0.6041,0.3959,0.8095,67862,24,0.9836,48724,0.4328,0.4801,0.4054,0.4947368421,0.059,1.0164636898,0,37409,1,0.974521223,1.5258903764,30
Notre Dame de Namur University,CA,94002-1908,21,0.2372,9199,795,0.3635,0.6365,0.6425,89560,23,0.9994,55099,0.4535,0.6372,0.5227,0.6840490798,0.063,0.9624910723,1,24544,1,0.6078842588,0.5710919089,38
Occidental College,CA,90041-3392,11,0.7558,11317,1970,0.431,0.569,0.9257,75275,19,0.3669,74132,0.199,0.4482,0.857,0.8940092166,0.016,0.850200146,0,29638,1,0.4748619932,0.7574692443,34
Otis College of Art and Design,CA,90045-3505,11,0.1464,7840,1120,0.3134,0.6866,0.7899,73811,21,0.7817,64291,0.3462,0.4687,0.6268,0.7020833333,0.03,0.9199244305,0,43147,1,0.7335277182,0.4564520827,31
Hope International University,CA,92831-3199,21,0.2093,5466,633,0.4502,0.5498,0.7191,71774,22,0.3679,43853,0.5034,0.6635,0.4815,0.6312364425,0.082,1.0167724109,0,20318,1,0.9447356924,0.8188432157,5
Pacific Union College,CA,94508-9707,41,0.9205,6351,889,0.3993,0.6007,0.8019,69255,21,0.5332,43382,0.4376,0.7817,0.5586,0.6465408805,0.07,0.9858808184,0,21835,1,0.7452685422,0.6647244881,13
University of the Pacific,CA,95211-0197,11,0.4868,11128,3585,0.4806,0.5194,0.8269,72621,20,0.6561,63482,0.3664,0.5158,0.7186,0.7533512064,0.018,0.8949171589,0,28929,1,0.5457191366,0.9252984213,30
Pepperdine University,CA,90263,21,0.5326,12603,3581,0.4172,0.5828,0.9099,79068,20,0.3172,73002,0.1922,0.4047,0.8465,0.7927773001,0.011,0.9211908016,0,36996,1,0.5917262442,0.7158544955,34
Pitzer College,CA,91711-6101,21,0.8672,11852,1086,0.43,0.57,0.9338,75882,20,0.137,73300,0.1455,0.2929,0.8422,0.7837837838,0.035,0.8242279965,0,34071,1,0.4140913915,0.7543859649,34
Point Loma Nazarene University,CA,92106-2899,11,1,10429,3195,0.349,0.651,0.8752,71269,23,0.7366,50979,0.282,0.5464,0.7598,0.8524871355,0.024,0.8922880441,0,33044,1,0.5178577395,0.5360983103,30
Pomona College,CA,91711-6319,21,0.942,13699,1610,0.477,0.523,0.9709,76544,19,0.074,71906,0.2257,0.1259,0.9359,0.9440880331,0,0.7314680867,0,17458,1,0.3687688904,0.9120458891,36
